table_id,row_id,time_period,level_of_confidence_in_medical_scientists_level_1,level_of_confidence_in_medical_scientists_level_2,level_of_confidence_in_medical_scientists_hierarchy_depth,value
6680,r001_1,"['All respondents (<i>n</i> = 6,283)', '']",Level of confidence in medical scientists,A great deal,2,1.0
6680,r001_2,"['All respondents (<i>n</i> = 6,283)', '']",Level of confidence in medical scientists,A fair amount,2,1.1
6680,r001_3,"['All respondents (<i>n</i> = 6,283)', '']",Level of confidence in medical scientists,Not too much,2,0.8
6680,r001_4,"['All respondents (<i>n</i> = 6,283)', '']",Level of confidence in medical scientists,None at all,2,0.4
6680,r002_1,"['Perception that science is iterative', 'Believe the scientific method produces findings meant to be continually tested and updated over time (<i>n</i> = 4,669)']",Level of confidence in medical scientists,A great deal,2,1.2
6680,r002_2,"['Perception that science is iterative', 'Believe the scientific method produces findings meant to be continually tested and updated over time (<i>n</i> = 4,669)']",Level of confidence in medical scientists,A fair amount,2,1.2
6680,r002_3,"['Perception that science is iterative', 'Believe the scientific method produces findings meant to be continually tested and updated over time (<i>n</i> = 4,669)']",Level of confidence in medical scientists,Not too much,2,0.8
6680,r002_4,"['Perception that science is iterative', 'Believe the scientific method produces findings meant to be continually tested and updated over time (<i>n</i> = 4,669)']",Level of confidence in medical scientists,None at all,2,0.3
6680,r003_1,"['', 'Believe the scientific method identifies unchanging core principles and truths<sup>a</sup> (<i>n</i> = 1,614)']",Level of confidence in medical scientists,A great deal,2,1.7
6680,r003_2,"['', 'Believe the scientific method identifies unchanging core principles and truths<sup>a</sup> (<i>n</i> = 1,614)']",Level of confidence in medical scientists,A fair amount,2,2.0
6680,r003_3,"['', 'Believe the scientific method identifies unchanging core principles and truths<sup>a</sup> (<i>n</i> = 1,614)']",Level of confidence in medical scientists,Not too much,2,1.7
6680,r003_4,"['', 'Believe the scientific method identifies unchanging core principles and truths<sup>a</sup> (<i>n</i> = 1,614)']",Level of confidence in medical scientists,None at all,2,1.0
6680,r004_1,"['Perception that science yields accurate results', 'Believe the scientific method generally produces accurate conclusions (<i>n</i> = 4,658)']",Level of confidence in medical scientists,A great deal,2,1.3
6680,r004_2,"['Perception that science yields accurate results', 'Believe the scientific method generally produces accurate conclusions (<i>n</i> = 4,658)']",Level of confidence in medical scientists,A fair amount,2,1.3
6680,r004_3,"['Perception that science yields accurate results', 'Believe the scientific method generally produces accurate conclusions (<i>n</i> = 4,658)']",Level of confidence in medical scientists,Not too much,2,0.7
6680,r004_4,"['Perception that science yields accurate results', 'Believe the scientific method generally produces accurate conclusions (<i>n</i> = 4,658)']",Level of confidence in medical scientists,None at all,2,0.3
6680,r005_1,"['', 'Believe the scientific method can be used to produce any conclusion the researcher wants (<i>n</i> = 1,511)']",Level of confidence in medical scientists,A great deal,2,1.5
6680,r005_2,"['', 'Believe the scientific method can be used to produce any conclusion the researcher wants (<i>n</i> = 1,511)']",Level of confidence in medical scientists,A fair amount,2,2.0
6680,r005_3,"['', 'Believe the scientific method can be used to produce any conclusion the researcher wants (<i>n</i> = 1,511)']",Level of confidence in medical scientists,Not too much,2,1.8
6680,r005_4,"['', 'Believe the scientific method can be used to produce any conclusion the researcher wants (<i>n</i> = 1,511)']",Level of confidence in medical scientists,None at all,2,1.0
